"Field","state1","state2","mat_elem1","mat_elem2"
11.45,"28,17,16.5,1.5","31,4,3.5,0.5",-4.79033220062507,-3.55796316648791
11.4,"28,17,17.5,1.5","31,4,3.5,0.5",-11.2051096801823,3.54645596192429
11.3,"28,17,16.5,1.5","31,4,4.5,0.5",4.7150841320205,-0.361567696084507
11.25,"28,17,17.5,1.5","31,4,4.5,0.5",11.0205062953341,-0.361342494543507
10.95,"28,26,25.5,1.5","34,0,0.5,0.5",1.86710321664625,-131.300023743614
11.15,"28,26,26.5,1.5","34,0,0.5,0.5",3.42273135161673,131.174891968833
11.45,"31,14,13.5,1.5","28,6,6.5,0.5",-2.63717655416081,2.42497727999616
11.45,"31,14,14.5,1.5","28,6,6.5,0.5",-1.04445138239325,2.42497727999616
11.45,"31,13,12.5,1.5","28,7,6.5,0.5",-2.68285733717691,-20.9201136666287
11.4,"31,13,13.5,1.5","28,7,6.5,0.5",1.05876215262946,-20.8188861558153
11.4,"31,13,12.5,1.5","28,7,7.5,0.5",2.67051653540675,-2.31321938919176
11.35,"31,13,13.5,1.5","28,7,7.5,0.5",1.05399956153026,2.30263317570215
11.35,"31,12,11.5,1.5","28,8,7.5,0.5",-2.69917087661441,19.9683500785951
11.3,"31,12,12.5,1.5","28,8,7.5,0.5",1.06508133606601,19.8690457674568
11.35,"31,12,11.5,1.5","28,8,8.5,0.5",-2.69917087661441,2.22721194565674
11.25,"31,12,12.5,1.5","28,8,8.5,0.5",1.06023216510212,2.20672339545217
11.25,"31,11,10.5,1.5","28,9,8.5,0.5",2.71114498728445,-19.1576023222129
11.2,"31,11,11.5,1.5","28,9,8.5,0.5",-1.07019118238078,-19.0606297409485
11.25,"31,11,10.5,1.5","28,9,9.5,0.5",2.71114498728445,-2.14835610969232
11.2,"31,11,11.5,1.5","28,9,9.5,0.5",-1.07019118238078,-2.13851693469566
11.2,"31,10,9.5,1.5","28,10,9.5,0.5",2.73161184889462,-18.5272136980777
11.1,"31,10,10.5,1.5","28,10,9.5,0.5",-1.07485004438507,-18.3380755433327
11.15,"31,10,9.5,1.5","28,10,10.5,0.5",2.71922965894106,2.08330190682653
11.1,"31,10,10.5,1.5","28,10,10.5,0.5",-1.07485004438507,2.07394489646926
11.1,"31,9,8.5,1.5","28,11,10.5,0.5",2.73487949381081,17.8445286590921
11,"31,9,9.5,1.5","28,11,10.5,0.5",-1.07953529761226,-17.6600343863171
11.1,"31,9,8.5,1.5","28,11,11.5,0.5",2.73487949381081,-2.04218036832943
10.95,"31,9,9.5,1.5","28,11,11.5,0.5",-1.07457355229681,-2.01610592676605
11,"31,8,7.5,1.5","28,12,11.5,0.5",2.72998127324728,17.1724084947855
10.85,"31,8,8.5,1.5","28,12,11.5,0.5",1.07956936993599,-16.9020666808447
11,"31,8,7.5,1.5","28,12,12.5,0.5",2.72998127324728,2.02610733127466
10.85,"31,8,8.5,1.5","28,12,12.5,0.5",1.07956936993599,-2.00410561781155
10.9,"31,7,6.5,1.5","28,13,12.5,0.5",2.70786995112393,16.4446275703006
10.9,"31,7,6.5,1.5","28,13,13.5,0.5",2.70786995112393,2.34857705547486
10.85,"31,6,5.5,1.5","28,14,13.5,0.5",-2.65701753698015,1.52775988641068
10.85,"31,6,5.5,1.5","28,14,14.5,0.5",-2.65701753698015,-15.914147980105
10.8,"31,5,4.5,1.5","28,15,14.5,0.5",2.51544683001822,-1.60217884158748
11,"31,16,15.5,1.5","28,3,2.5,1.5",-0.973051551730079,-4.69167975022598
10.95,"31,16,16.5,1.5","28,3,2.5,1.5",2.40067521036206,4.69531949891995
11.3,"28,18,17.5,1.5","31,3,3.5,1.5",4.46036870878853,1.01307584189674
11.2,"28,18,18.5,1.5","31,3,3.5,1.5",-10.1962671237462,1.00769751118162
11.45,"28,17,16.5,1.5","31,4,4.5,1.5",-4.79033220062507,1.14140275969553
11.4,"28,17,17.5,1.5","31,4,4.5,1.5",-11.2051096801823,1.13766926642347
11.45,"31,13,12.5,1.5","28,7,7.5,1.5",-2.68285733717691,6.76306097183564
11.4,"31,13,13.5,1.5","28,7,7.5,1.5",1.05876215262946,6.73050415151706
11.45,"31,12,11.5,1.5","28,8,7.5,1.5",2.72400003666061,-16.2574099900897
11.4,"31,12,12.5,1.5","28,8,7.5,1.5",1.07477806538158,-16.1782736321241
11.35,"31,12,11.5,1.5","28,8,8.5,1.5",-2.69917087661441,6.45806064420475
11.3,"31,12,12.5,1.5","28,8,8.5,1.5",1.06508133606601,6.42614083956069
11.35,"31,11,10.5,1.5","28,9,8.5,1.5",-2.73602310061567,15.5395206215003
11.3,"31,11,11.5,1.5","28,9,8.5,1.5",-1.08000933315655,15.4613669565077
11.25,"31,11,10.5,1.5","28,9,9.5,1.5",2.71114498728445,-6.19969885988596
11.2,"31,11,11.5,1.5","28,9,9.5,1.5",-1.07019118238078,-6.16855761517832
11.25,"31,10,9.5,1.5","28,10,9.5,1.5",2.74399295538703,-14.8924659465122
11.15,"31,10,10.5,1.5","28,10,9.5,1.5",-1.07979852209031,14.7392269620153
11.2,"31,10,9.5,1.5","28,10,10.5,1.5",2.73161184889462,6.00144532524721
11.1,"31,10,10.5,1.5","28,10,10.5,1.5",-1.07485004438507,-5.94080612540287
11.15,"31,9,8.5,1.5","28,11,10.5,1.5",2.7470767466453,14.2806688522971
11,"31,9,9.5,1.5","28,11,10.5,1.5",-1.07953529761226,14.0559598673476
11.1,"31,9,8.5,1.5","28,11,11.5,1.5",2.73487949381081,-5.79131904316452
11,"31,9,9.5,1.5","28,11,11.5,1.5",-1.07953529761226,-5.73237314077478
11.05,"31,8,7.5,1.5","28,12,11.5,1.5",2.74179779330057,13.6688320831622
10.9,"31,8,8.5,1.5","28,12,11.5,1.5",1.08450637732997,-13.4492040196543
11,"31,8,7.5,1.5","28,12,12.5,1.5",2.72998127324728,-5.60184566774722
10.85,"31,8,8.5,1.5","28,12,12.5,1.5",1.07956936993599,5.51649502857392
10.9,"31,7,6.5,1.5","28,13,12.5,1.5",2.70786995112393,12.8158720826128
10.9,"31,7,6.5,1.5","28,13,13.5,1.5",2.70786995112393,5.75752694556294
10.85,"31,6,5.5,1.5","28,14,13.5,1.5",-2.65701753698015,5.05879538013651
10.85,"31,6,5.5,1.5","28,14,14.5,1.5",-2.65701753698015,12.4426660655918
11,"31,16,15.5,1.5","28,3,3.5,2.5",-0.973051551730079,10.5382317732783
10.95,"31,16,16.5,1.5","28,3,3.5,2.5",2.40067521036206,10.5389410709312
11.35,"31,15,14.5,1.5","28,4,3.5,2.5",-1.05204588007693,0.00305796195804087
11.35,"31,15,15.5,1.5","28,4,3.5,2.5",2.54561998227451,0.00305796195804087
11.25,"28,17,16.5,1.5","31,3,2.5,2.5",-4.68997861265705,-4.05841653051914e-06
11.2,"28,17,17.5,1.5","31,3,2.5,2.5",10.9589173863474,-4.1104576081757e-06
11.3,"28,16,15.5,1.5","31,4,3.5,2.5",-4.9466265690609,0.000165339165829927
11.25,"28,16,16.5,1.5","31,4,3.5,2.5",11.7348403658014,0.000165901793405762
11.1,"31,14,13.5,1.5","28,5,4.5,2.5",2.55135381227202,0.00185504945428303
11.1,"31,14,14.5,1.5","28,5,4.5,2.5",-1.01221106140605,0.00185504945428303
10.9,"31,13,12.5,1.5","28,6,5.5,2.5",2.5470035299083,0.000874081632805506
10.85,"31,13,13.5,1.5","28,6,5.5,2.5",1.00632415835213,-0.000911460343807101
11.45,"31,12,11.5,1.5","28,8,8.5,2.5",2.72400003666061,12.2015148545358
11.4,"31,12,12.5,1.5","28,8,8.5,2.5",1.07477806538158,12.1421728717853
11.45,"31,11,11.5,1.5","28,9,8.5,2.5",1.09473461460279,0.00920044445735843
11.35,"31,11,10.5,1.5","28,9,9.5,2.5",-2.73602310061567,-11.6637086782356
11.3,"31,11,11.5,1.5","28,9,9.5,2.5",-1.08000933315655,-11.6051097900071
11.35,"31,10,9.5,1.5","28,10,9.5,2.5",2.76875232357254,-0.0136562349866777
11.25,"31,10,10.5,1.5","28,10,9.5,2.5",-1.08969516369756,-0.0137396062032192
11.25,"31,10,9.5,1.5","28,10,10.5,2.5",2.74399295538703,11.1796560174729
11.15,"31,10,10.5,1.5","28,10,10.5,2.5",-1.07979852209031,11.0647821760277
11.2,"31,9,8.5,1.5","28,11,10.5,2.5",2.75927305527405,0.0222050562162672
11.1,"31,9,9.5,1.5","28,11,10.5,2.5",-1.0894586850111,0.0223542659190649
11.15,"31,9,8.5,1.5","28,11,11.5,2.5",2.7470767466453,-10.7234335980845
11,"31,9,9.5,1.5","28,11,11.5,2.5",-1.07953529761226,-10.5550606154799
11.05,"31,8,7.5,1.5","28,12,11.5,2.5",2.74179779330057,0.0545438650544046
10.9,"31,8,8.5,1.5","28,12,11.5,2.5",1.08450637732997,-0.0559437287537272
11.05,"31,8,7.5,1.5","28,12,12.5,2.5",2.74179779330057,-10.2720006439149
10.9,"31,8,8.5,1.5","28,12,12.5,2.5",1.08450637732997,-10.1077025447962
10.9,"31,7,6.5,1.5","28,13,12.5,2.5",2.70786995112393,9.75320248451102
10.9,"31,7,6.5,1.5","28,13,13.5,2.5",2.70786995112393,0.0893057379644112
10.85,"31,6,5.5,1.5","28,14,13.5,2.5",-2.65701753698015,-9.31401027176622
10.8,"31,6,5.5,1.5","28,14,14.5,2.5",-2.64702563905405,0.0206675533314035
11.45,"31,5,5.5,1.5","28,16,16.5,2.5",1.16603977644037,0.00593180921906781
11.4,"31,17,17.5,2.5","28,3,3.5,0.5",0.00141181597807683,-3.25273760006521
11.45,"31,16,16.5,2.5","28,4,4.5,0.5",0.00268163579494931,-2.79747382463786
11.2,"28,18,17.5,2.5","31,3,2.5,0.5",7.64748587907401,-0.33263328781926
11.05,"28,18,18.5,2.5","31,3,2.5,0.5",0.00170149302116437,-0.330003802699702
11.05,"28,18,17.5,2.5","31,3,3.5,0.5",-7.5158832417952,-0.338749232449777
10.9,"28,18,18.5,2.5","31,3,3.5,0.5",-0.00166386987195831,-0.339778580422869
11.4,"28,17,16.5,2.5","31,4,3.5,0.5",-8.40332759689849,3.54645596192429
11.25,"28,17,17.5,2.5","31,4,3.5,0.5",0.00326563286755325,-3.51202920677848
11.25,"28,17,16.5,2.5","31,4,4.5,0.5",-8.26475171533565,-0.361342494543507
11.1,"28,17,17.5,2.5","31,4,4.5,0.5",-0.00320527391857735,-0.360489485357232
11.15,"28,26,25.5,2.5","34,0,0.5,0.5",-2.56845174672575,131.174891968833
11.45,"31,14,14.5,2.5","28,6,6.5,0.5",1.96860455155759,2.42497727999616
11.45,"31,13,13.5,2.5","28,7,6.5,0.5",2.00374643535817,-20.9201136666287
11.45,"31,13,12.5,2.5","28,7,7.5,0.5",0.00288964233491441,2.32379874694217
11.4,"31,13,13.5,2.5","28,7,7.5,0.5",1.99455192703113,-2.31321938919176
11.45,"31,12,11.5,2.5","28,8,7.5,0.5",-0.00164553900190188,20.1668824691691
