"index","Voltage","state"
219,10.9,"31,16,16.5,2.5,28,3,2.5,1.5"
211,10.5,"31,16,16.5,3.5,28,3,2.5,1.5"
248,12.35,"31,17,16.5,0.5,28,3,2.5,1.5"
248,12.35,"31,17,16.5,1.5,28,3,2.5,1.5"
247,12.3,"31,17,16.5,2.5,28,3,2.5,1.5"
245,12.2,"31,17,16.5,3.5,28,3,2.5,1.5"
248,12.35,"31,17,17.5,0.5,28,3,2.5,1.5"
247,12.3,"31,17,17.5,1.5,28,3,2.5,1.5"
245,12.2,"31,17,17.5,2.5,28,3,2.5,1.5"
234,11.65,"31,17,17.5,3.5,28,3,2.5,1.5"
210,10.45,"31,15,14.5,0.5,28,3,2.5,2.5"
210,10.45,"31,15,14.5,1.5,28,3,2.5,2.5"
210,10.45,"31,15,14.5,2.5,28,3,2.5,2.5"
209,10.4,"31,15,14.5,3.5,28,3,2.5,2.5"
210,10.45,"31,15,15.5,0.5,28,3,2.5,2.5"
210,10.45,"31,15,15.5,1.5,28,3,2.5,2.5"
209,10.4,"31,15,15.5,2.5,28,3,2.5,2.5"
203,10.1,"31,15,15.5,3.5,28,3,2.5,2.5"
233,11.6,"31,16,15.5,0.5,28,3,2.5,2.5"
233,11.6,"31,16,15.5,1.5,28,3,2.5,2.5"
233,11.6,"31,16,15.5,2.5,28,3,2.5,2.5"
232,11.55,"31,16,15.5,3.5,28,3,2.5,2.5"
233,11.6,"31,16,16.5,0.5,28,3,2.5,2.5"
233,11.6,"31,16,16.5,1.5,28,3,2.5,2.5"
232,11.55,"31,16,16.5,2.5,28,3,2.5,2.5"
223,11.1,"31,16,16.5,3.5,28,3,2.5,2.5"
260,12.95,"31,17,16.5,3.5,28,3,2.5,2.5"
260,12.95,"31,17,17.5,2.5,28,3,2.5,2.5"
248,12.35,"31,17,17.5,3.5,28,3,2.5,2.5"
208,10.35,"31,16,15.5,0.5,28,3,3.5,0.5"
207,10.3,"31,16,15.5,1.5,28,3,3.5,0.5"
207,10.3,"31,16,15.5,2.5,28,3,3.5,0.5"
206,10.25,"31,16,15.5,3.5,28,3,3.5,0.5"
207,10.3,"31,16,16.5,0.5,28,3,3.5,0.5"
207,10.3,"31,16,16.5,1.5,28,3,3.5,0.5"
206,10.25,"31,16,16.5,2.5,28,3,3.5,0.5"
232,11.55,"31,17,16.5,0.5,28,3,3.5,0.5"
232,11.55,"31,17,16.5,1.5,28,3,3.5,0.5"
231,11.5,"31,17,16.5,2.5,28,3,3.5,0.5"
229,11.4,"31,17,16.5,3.5,28,3,3.5,0.5"
232,11.55,"31,17,17.5,0.5,28,3,3.5,0.5"
231,11.5,"31,17,17.5,1.5,28,3,3.5,0.5"
229,11.4,"31,17,17.5,2.5,28,3,3.5,0.5"
220,10.95,"31,17,17.5,3.5,28,3,3.5,0.5"
258,12.85,"31,18,17.5,3.5,28,3,3.5,0.5"
258,12.85,"31,18,18.5,2.5,28,3,3.5,0.5"
246,12.25,"31,18,18.5,3.5,28,3,3.5,0.5"
211,10.5,"31,16,15.5,0.5,28,3,3.5,1.5"
211,10.5,"31,16,15.5,1.5,28,3,3.5,1.5"
211,10.5,"31,16,15.5,2.5,28,3,3.5,1.5"
210,10.45,"31,16,15.5,3.5,28,3,3.5,1.5"
211,10.5,"31,16,16.5,0.5,28,3,3.5,1.5"
211,10.5,"31,16,16.5,1.5,28,3,3.5,1.5"
210,10.45,"31,16,16.5,2.5,28,3,3.5,1.5"
202,10.05,"31,16,16.5,3.5,28,3,3.5,1.5"
236,11.75,"31,17,16.5,0.5,28,3,3.5,1.5"
236,11.75,"31,17,16.5,1.5,28,3,3.5,1.5"
235,11.7,"31,17,16.5,2.5,28,3,3.5,1.5"
233,11.6,"31,17,16.5,3.5,28,3,3.5,1.5"
236,11.75,"31,17,17.5,0.5,28,3,3.5,1.5"
235,11.7,"31,17,17.5,1.5,28,3,3.5,1.5"
233,11.6,"31,17,17.5,2.5,28,3,3.5,1.5"
224,11.15,"31,17,17.5,3.5,28,3,3.5,1.5"
251,12.5,"31,18,18.5,3.5,28,3,3.5,1.5"
221,11,"31,16,15.5,0.5,28,3,3.5,2.5"
221,11,"31,16,15.5,1.5,28,3,3.5,2.5"
220,10.95,"31,16,15.5,2.5,28,3,3.5,2.5"
219,10.9,"31,16,15.5,3.5,28,3,3.5,2.5"
221,11,"31,16,16.5,0.5,28,3,3.5,2.5"
220,10.95,"31,16,16.5,1.5,28,3,3.5,2.5"
219,10.9,"31,16,16.5,2.5,28,3,3.5,2.5"
211,10.5,"31,16,16.5,3.5,28,3,3.5,2.5"
248,12.35,"31,17,16.5,0.5,28,3,3.5,2.5"
248,12.35,"31,17,16.5,1.5,28,3,3.5,2.5"
