"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56"
0,0,0,0,0,0,0,0,0,154.025126430968,-2.16315477355964,0,0,148.808612133079,8.28508582904806e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.9948908950435,-0.294855777835259,0,0,67.2805058865369,3.7459173760268e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,8.5856636416756e-15,154.207296957595,0,0,-1.53077782368955,148.918799939464,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.17029653274986e-15,21.0197222353544,0,0,-0.692107163029112,67.3303248536642,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,148.808612133079,-1.53077782368955,0,0,142.430945457849,1.58482691011536e-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4646959352658,-0.189944295922858,0,0,72.3022295634343,8.04505781416581e-15,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,8.28508582904806e-15,148.918799939464,0,0,-1.1195962167596,142.50133387107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.02804258730766e-15,18.4783684257991,0,0,-0.568340696063563,72.3379608379472,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,142.430945457849,-1.1195962167596,0,0,134.767699849727,-1.49881739022486e-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0176352138548,-0.125908619992797,0,0,77.5859930857553,-8.62871710391004e-15,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1.58482691011536e-14,142.50133387107,0,0,-0.835922407444332,134.814356489467,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.78227977366344e-15,16.0255510212141,0,0,-0.481241945930082,77.6128533922846,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,134.767699849727,-0.835922407444332,0,0,125.605627568796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.6518442549649,-0.0846781723542822,0,0,83.1543166002273,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.49881739022486e-14,134.814356489467,0,0,-0.630475984209875,125.637270251643,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.51828825458908e-15,13.6565705297317,0,0,-0.417392123383268,83.1752649105735,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.605627568796,-0.630475984209875,0,0,114.598682640078,1.27374593659024e-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.3623986871058,-0.057033427832,0,0,89.0286846312413,9.89539518924267e-15,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125.637270251643,0,0,-0.475067637713634,114.620343859937,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.3652611128187,0,0,-0.369067478980989,89.0455126598636,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114.598682640078,-0.475067637713634,0,0,101.155075604221,1.68616489242697e-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.14269561373647,-0.0379009488372042,0,0,95.2307031488355,1.58741088740781e-14,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.27374593659024e-14,114.620343859937,0,0,-0.352176768984083,101.169787999849,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.01619592120909e-15,9.14442374825975,0,0,-0.331550751583243,95.2445538802227,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101.155075604221,-0.352176768984083,0,0,84.1208369573543,4.67338470648556e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.98431209583621,-0.0243162535621238,0,0,101.782583964296,5.65459389718707e-15,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.68616489242697e-14,101.169787999849,0,0,-0.249446561454052,84.130452415688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.16422253489578e-15,6.98532792190454,0,0,-0.301819578883569,101.794218254094,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,84.1208369573543,-0.249446561454052,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.87434703015993,-0.0144540776100881,0,0,108.707531570824,3.01931168165303e-14
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.67338470648556e-15,84.130452415688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.70797339741176e-16,4.87490419390756,0,0,-0.277859943078584,108.717474181314
