"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168"
0,0,0,0,0,0,0,6.49511569084185e-15,116.521105090769,0,0,-1.57268499841557,112.11380042508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.1552209300715e-16,16.4242872783041,0,0,-0.709794665406672,50.599946931752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.03521093941695e-16,-5.44510905853648,0,0,0.262902958889792,-18.7418649594982,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.58108506565337e-16,2.83643568277323,0,0,-0.146874558044881,10.4704151847034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.99541150757301e-17,-1.79315727407534,0,0,0.0974941677643237,-6.95017862976423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.03921835921261e-17,1.26282200538351,0,0,-0.0711820903900701,5.07443937207543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,111.981356432684,-1.57268499841557,0,0,106.49290516158,5.92911153999159e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.1857198180633,-0.199226634328239,0,0,54.916536700519,3.05753957029701e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.55480070558572,0.0639683869587112,0,0,-19.9713890318219,-1.11192940974397e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.31982534413126,-0.0325800171910993,0,0,10.9907030743658,6.11919679831901e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.44193485409064,0.0202507755394452,0,0,-7.20607600690826,-4.01206337133813e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.00210719790633,-0.0140737619828613,0,0,5.20784223312272,2.89952438014653e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,6.24206116721167e-15,112.11380042508,0,0,-1.09548080090846,106.571759600495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.90739937665493e-16,14.2024977302763,0,0,-0.564920372080406,54.9572005614781,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.53893554377652e-16,-4.56018781652306,0,0,0.205443482067083,-19.9861771782628,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.29311629690965e-16,2.32256907701704,0,0,-0.113060153520885,10.9988413228518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.03762862417087e-17,-1.44364027734086,0,0,0.0741281111964918,-7.21141186547494,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.58594271823688e-17,1.00329242268238,0,0,-0.0535725001763254,5.21169846633021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,106.49290516158,-1.09548080090846,0,0,99.6882081063409,1.10922913781306e-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.0580075980271,-0.124039397749593,0,0,59.5512046298871,6.62625325724332e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.72899798346518,0.0383597920567034,0,0,-21.0525185469283,-2.3425104573745e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.84947377003647,-0.0190253332255761,0,0,11.3290444866771,1.26058101423566e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.12679593496173,0.0115912258325506,0,0,-7.29560795005537,-8.11781159475703e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.77090695697713,-0.00793023506471007,0,0,5.19590465435837,5.78147501032896e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,5.92911153999159e-15,106.571759600495,0,0,-0.783611597133104,99.7374733468605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.71343052293416e-16,12.0669361498599,0,0,-0.468109673728381,59.5806344338234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.07616131260782e-16,-3.73175918190607,0,0,0.165485948595193,-21.0629225596943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.0297151961623e-16,1.85084324358217,0,0,-0.0890533676232498,11.3346432241014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.27356232892732e-17,-1.12763028971135,0,0,0.0573480365070001,-7.29921339032984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.29211066027139e-17,0.771477787826895,0,0,-0.0408430567877176,5.1984724354167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,99.6882081063409,-0.783611597133104,0,0,91.3068859600584,-1.01546845925849e-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.0083638248564,-0.0786719925100754,0,0,64.4716785293563,-7.17021015158191e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.96016604242888,0.0232687544931338,0,0,-21.8541727146914,2.43050925038277e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.42240624284327,-0.0111810017343025,0,0,11.3880253429667,-1.26651790031233e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.84613651683981,0.00665116165641372,0,0,-7.15059189980619,7.95252237871611e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.568151244042278,-0.00446602373755388,0,0,4.99041791752215,-5.55008742273719e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,1.10922913781306e-14,99.7374733468605,0,0,-0.566348405538448,91.3384964460184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.11362908284222e-15,10.0133098907994,0,0,-0.399897904233213,64.4939986541479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.29377214155989e-16,-2.9616289365347,0,0,0.135554681787544,-21.8617386393475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.58270920938401e-16,1.42310918642106,0,0,-0.0706364030204904,11.3919678825839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.41494783460426e-17,-0.846554671803235,0,0,0.0443529124723726,-7.15306743801426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.32181003699223e-17,0.568432020557585,0,0,-0.0309540206178483,4.99214560250294,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.3068859600584,-0.566348405538448,0,0,80.8792563746901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.03187245799753,-0.0498192235146968,0,0,69.7037440562787,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.2508023221514,0.0139610314482777,0,0,-22.2065289730879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.04085307985043,-0.00645609009632569,0,0,11.0543612250632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.601517515395194,0.00373102731700367,0,0,-6.70226233789871,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.394858966772671,-0.00244918818436198,0,0,4.55027225534135,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.01546845925849e-14,91.3384964460184,0,0,-0.405972485086834,80.8996315498149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.93263751591672e-16,8.03465309594062,0,0,-0.34987713120517,69.7213038862729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.50322715766514e-16,-2.25158155095167,0,0,0.111465413462659,-22.2121232618712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.15758352965025e-16,1.04121342366591,0,0,-0.0554872373800758,11.0571460497012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.68976997904139e-17,-0.601725761035982,0,0,0.0336419277201973,-6.70395077786451,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.39141935897852e-17,0.394995667128774,0,0,-0.0228400385726182,4.55141856402696,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80.8792563746901,-0.405972485086834,0,0,67.4755000183569,7.49979336479031e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1205122434619,-0.0307218398988666,0,0,75.2729800056791,8.36647073146555e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.60400468775514,0.00805128284268773,0,0,-21.8317189791688,-2.42656047153993e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.707388844800876,-0.00355073006502548,0,0,10.1776068362415,1.13122464004154e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.394510161276211,0.00198023915827484,0,0,-5.87829101688121,-6.53362597575691e-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.251886411181882,-0.00126434090631814,0,0,3.84457511140243,4.27318343740909e-16,0,0,0,0,0,0,0,0,0,0
